Hello! Welcome to the world of TQS Quality Control! Minimum height for a real peak: 1000. Minimum area for a real peak: 1000. RT flexibility: 0.4. Ion ratio (IR) flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N ratio: 4. Processed on: 2020-02-04 14:44:47. 
"Replicate.Name","Precursor.Ion.Name","Precursor.Mz","Product.Mz","Area","IR.Flag","Retention.Time","Background","RT.min","RT.max","RT.Reference","RT.Flag","blank.Flag","height.min.Flag","overloaded.Flag","area.min.Flag","SN.Flag","all.Flags"
"180212_Poo_TruePoo_Full2","Hydroxybutyryl CoA",852.1043,158.902,1840,NA,5.87,20,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Poo_TruePoo_Full2","Malonyl CoA",852.1053,808.0725,7139,NA,2.93,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full2","Methyl Malonyl CoA",866.1109,822.1345,11292,NA,3.84,181,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Poo_TruePoo_Full2","Propionyl CoA",822.277,408.113,9017,NA,7.14,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full2","Succinyl CoA",866.1105,158.9068,25,NA,3.5,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Poo_TruePoo_Full3","13C Acetyl CoA",810.2043,408.0569,11847258,NA,5.44,88246,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Poo_TruePoo_Full3","Acetoacetyl CoA",850.3228,766.3569,1743,NA,5.25,172,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Poo_TruePoo_Full3","Acetyl CoA",808.149,408.0672,129890,NA,5.43,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full3","Crotonyl CoA",834.277,408.067,4612,NA,8.25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full3","Hydroxybutyryl CoA",852.1043,158.902,3508,NA,5.84,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full3","Malonyl CoA",852.1053,808.0725,9884,NA,2.96,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full3","Methyl Malonyl CoA",866.1109,822.1345,19072,NA,3.86,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full3","Propionyl CoA",822.277,408.113,11627,NA,7.15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full3","Succinyl CoA",866.1105,158.9068,4130,NA,3.85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half1","13C Acetyl CoA",810.2043,408.0569,5193993,NA,5.43,25243,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Poo_TruePoo_Half1","Acetoacetyl CoA",850.3228,766.3569,421,NA,5.27,20,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Poo_TruePoo_Half1","Acetyl CoA",808.149,408.0672,60390,NA,5.43,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half1","Crotonyl CoA",834.277,408.067,2880,NA,8.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half1","Hydroxybutyryl CoA",852.1043,158.902,2088,NA,5.83,13,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Poo_TruePoo_Half1","Malonyl CoA",852.1053,808.0725,12327,NA,2.94,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half1","Methyl Malonyl CoA",866.1109,822.1345,17170,NA,3.85,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half1","Propionyl CoA",822.277,408.113,6858,NA,7.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half1","Succinyl CoA",866.1105,158.9068,1,NA,3.5,6,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Poo_TruePoo_Half2","13C Acetyl CoA",810.2043,408.0569,5736368,NA,5.42,25810,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Poo_TruePoo_Half2","Acetoacetyl CoA",850.3228,766.3569,79,NA,5.19,6,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Poo_TruePoo_Half2","Acetyl CoA",808.149,408.0672,61992,NA,5.42,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half2","Crotonyl CoA",834.277,408.067,2189,NA,8.24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half2","Hydroxybutyryl CoA",852.1043,158.902,2771,NA,5.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half2","Malonyl CoA",852.1053,808.0725,10669,NA,2.93,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half2","Methyl Malonyl CoA",866.1109,822.1345,16465,NA,3.85,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half2","Propionyl CoA",822.277,408.113,7201,NA,7.16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half2","Succinyl CoA",866.1105,158.9068,22,NA,3.52,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Poo_TruePoo_Half3","13C Acetyl CoA",810.2043,408.0569,5240130,NA,5.43,3201,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Poo_TruePoo_Half3","Acetoacetyl CoA",850.3228,766.3569,1231,NA,5.18,4,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,NA,NA,"blank.Flag, height.min.Flag, "
"180212_Poo_TruePoo_Half3","Acetyl CoA",808.149,408.0672,54607,NA,5.44,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half3","Crotonyl CoA",834.277,408.067,2837,NA,8.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half3","Hydroxybutyryl CoA",852.1043,158.902,2638,NA,5.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half3","Malonyl CoA",852.1053,808.0725,12310,NA,2.94,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half3","Methyl Malonyl CoA",866.1109,822.1345,16504,NA,3.85,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half3","Propionyl CoA",822.277,408.113,6650,NA,7.15,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Half3","Succinyl CoA",866.1105,158.9068,61,NA,3.53,2,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_A","13C Acetyl CoA",810.2043,408.0569,12116422,NA,5.42,57816,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C32DCMless10m_A","Acetoacetyl CoA",850.3228,766.3569,943,NA,5.3,13,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_A","Acetyl CoA",808.149,408.0672,137481,NA,5.42,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_A","Crotonyl CoA",834.277,408.067,3,NA,8.23,5,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C32DCMless10m_A","Hydroxybutyryl CoA",852.1043,158.902,1266,NA,5.83,27,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C32DCMless10m_A","Malonyl CoA",852.1053,808.0725,4378,NA,2.95,109,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless10m_A","Methyl Malonyl CoA",866.1109,822.1345,9121,NA,3.85,83,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless10m_A","Propionyl CoA",822.277,408.113,19435,NA,7.15,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_A","Succinyl CoA",866.1105,158.9068,20,NA,3.44,19,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C32DCMless10m_B","13C Acetyl CoA",810.2043,408.0569,12632460,NA,5.43,202698,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C32DCMless10m_B","Acetoacetyl CoA",850.3228,766.3569,418,NA,5.12,72,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_B","Acetyl CoA",808.149,408.0672,134070,NA,5.43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_B","Crotonyl CoA",834.277,408.067,324,NA,8.23,19,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_B","Hydroxybutyryl CoA",852.1043,158.902,1792,NA,5.83,1,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C32DCMless10m_B","Malonyl CoA",852.1053,808.0725,5406,NA,2.96,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_B","Methyl Malonyl CoA",866.1109,822.1345,7633,NA,3.85,0,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless10m_B","Propionyl CoA",822.277,408.113,12933,NA,7.15,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_B","Succinyl CoA",866.1105,158.9068,713,NA,3.57,9,NA,NA,NA,NA,NA,"height.min.Flag",NA,"area.min.Flag",NA,"height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_C","13C Acetyl CoA",810.2043,408.0569,13460831,NA,5.43,181368,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C32DCMless10m_C","Acetoacetyl CoA",850.3228,766.3569,351,NA,5.22,3,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_C","Acetyl CoA",808.149,408.0672,147416,NA,5.44,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_C","Crotonyl CoA",834.277,408.067,9,NA,8.23,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless10m_C","Hydroxybutyryl CoA",852.1043,158.902,1258,NA,5.86,18,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C32DCMless10m_C","Malonyl CoA",852.1053,808.0725,5267,NA,2.94,1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_C","Methyl Malonyl CoA",866.1109,822.1345,9134,NA,3.85,107,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless10m_C","Propionyl CoA",822.277,408.113,13812,NA,7.15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless10m_C","Succinyl CoA",866.1105,158.9068,24,NA,3.5,41,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C32DCMless20m_A","13C Acetyl CoA",810.2043,408.0569,12726328,NA,5.42,45809,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C32DCMless20m_A","Acetoacetyl CoA",850.3228,766.3569,190,NA,5.34,58,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C32DCMless20m_A","Acetyl CoA",808.149,408.0672,140809,NA,5.43,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_A","Crotonyl CoA",834.277,408.067,213,NA,8.23,3,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless20m_A","Hydroxybutyryl CoA",852.1043,158.902,1242,NA,5.81,44,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C32DCMless20m_A","Malonyl CoA",852.1053,808.0725,4337,NA,2.94,191,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless20m_A","Methyl Malonyl CoA",866.1109,822.1345,6539,NA,3.86,42,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless20m_A","Propionyl CoA",822.277,408.113,13231,NA,7.14,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_A","Succinyl CoA",866.1105,158.9068,686,NA,3.57,33,NA,NA,NA,NA,NA,"height.min.Flag",NA,"area.min.Flag",NA,"height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless20m_B","13C Acetyl CoA",810.2043,408.0569,13076203,NA,5.43,183617,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C32DCMless20m_B","Acetoacetyl CoA",850.3228,766.3569,118,NA,5.18,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless20m_B","Acetyl CoA",808.149,408.0672,168588,NA,5.44,1681,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_B","Crotonyl CoA",834.277,408.067,18,NA,8.24,8,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C32DCMless20m_B","Hydroxybutyryl CoA",852.1043,158.902,4017,NA,5.83,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_B","Malonyl CoA",852.1053,808.0725,4781,NA,2.96,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_B","Methyl Malonyl CoA",866.1109,822.1345,9951,NA,3.86,17,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C32DCMless20m_B","Propionyl CoA",822.277,408.113,15480,NA,7.16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_B","Succinyl CoA",866.1105,158.9068,55,NA,3.48,2,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless20m_C","13C Acetyl CoA",810.2043,408.0569,13363051,NA,5.44,108139,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C32DCMless20m_C","Acetoacetyl CoA",850.3228,766.3569,32,NA,5.21,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless20m_C","Acetyl CoA",808.149,408.0672,191174,NA,5.43,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_C","Crotonyl CoA",834.277,408.067,191,NA,8.24,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C32DCMless20m_C","Hydroxybutyryl CoA",852.1043,158.902,1248,NA,5.84,14,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C32DCMless20m_C","Malonyl CoA",852.1053,808.0725,6896,NA,2.94,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_C","Methyl Malonyl CoA",866.1109,822.1345,12866,NA,3.86,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_C","Propionyl CoA",822.277,408.113,21630,NA,7.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C32DCMless20m_C","Succinyl CoA",866.1105,158.9068,14,NA,3.47,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_A","13C Acetyl CoA",810.2043,408.0569,12864885,NA,5.42,60410,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C33DCM_A","Acetoacetyl CoA",850.3228,766.3569,384,NA,5.26,85,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_A","Acetyl CoA",808.149,408.0672,137647,NA,5.43,2067,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_A","Crotonyl CoA",834.277,408.067,30,NA,8.22,2,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_A","Hydroxybutyryl CoA",852.1043,158.902,1401,NA,5.82,1,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C33DCM_A","Malonyl CoA",852.1053,808.0725,5771,NA,2.93,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_A","Methyl Malonyl CoA",866.1109,822.1345,8292,NA,3.85,26,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C33DCM_A","Propionyl CoA",822.277,408.113,9515,NA,7.14,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_A","Succinyl CoA",866.1105,158.9068,62,NA,3.49,3,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_B","13C Acetyl CoA",810.2043,408.0569,12682216,NA,5.43,45343,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C33DCM_B","Acetoacetyl CoA",850.3228,766.3569,212,NA,5.21,3,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_B","Acetyl CoA",808.149,408.0672,178585,NA,5.43,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_B","Crotonyl CoA",834.277,408.067,25,NA,8.23,8,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C33DCM_B","Hydroxybutyryl CoA",852.1043,158.902,1191,NA,5.85,21,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C33DCM_B","Malonyl CoA",852.1053,808.0725,7182,NA,2.94,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_B","Methyl Malonyl CoA",866.1109,822.1345,9927,NA,3.85,195,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C33DCM_B","Propionyl CoA",822.277,408.113,11580,NA,7.15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_B","Succinyl CoA",866.1105,158.9068,50,NA,3.5,2,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_C","13C Acetyl CoA",810.2043,408.0569,12668013,NA,5.43,69886,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C33DCM_C","Acetoacetyl CoA",850.3228,766.3569,16,NA,5.24,23,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag","SN.Flag","blank.Flag, height.min.Flag, area.min.Flag, SN.Flag"
"180212_Smp_L1C33DCM_C","Acetyl CoA",808.149,408.0672,142338,NA,5.43,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_C","Crotonyl CoA",834.277,408.067,116,NA,8.24,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCM_C","Hydroxybutyryl CoA",852.1043,158.902,1183,NA,5.84,27,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Smp_L1C33DCM_C","Malonyl CoA",852.1053,808.0725,4924,NA,2.95,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_C","Methyl Malonyl CoA",866.1109,822.1345,4829,NA,3.85,0,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Smp_L1C33DCM_C","Propionyl CoA",822.277,408.113,9546,NA,7.15,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCM_C","Succinyl CoA",866.1105,158.9068,36,NA,3.47,7,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCMplus10m_A","13C Acetyl CoA",810.2043,408.0569,10669070,NA,5.45,94318,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Smp_L1C33DCMplus10m_A","Acetoacetyl CoA",850.3228,766.3569,1100,NA,5.19,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,NA,NA,"blank.Flag, height.min.Flag, "
"180212_Smp_L1C33DCMplus10m_A","Acetyl CoA",808.149,408.0672,114818,NA,5.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Smp_L1C33DCMplus10m_A","Crotonyl CoA",834.277,408.067,10,NA,8.24,0,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Smp_L1C33DCMplus10m_A","Hydroxybutyryl CoA",852.1043,158.902,131,NA,5.85,7,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
